date,trip_duration
2013-06-30,146356
2013-07-01,202276
2013-07-02,176217
2013-07-03,52708
2013-07-04,422040
2013-07-05,127090
2013-07-24,146344
2013-07-25,168146
2013-07-26,112517
2013-07-27,340940
2013-07-28,344014
2013-07-29,253775
2013-07-30,110635
2013-07-31,201559
2013-08-01,227132
2013-08-02,214050
2013-08-03,639653
2013-08-04,673312
2013-08-05,233784
2013-08-06,326637
2013-08-07,191361
2013-08-08,457770
2013-08-09,413069
2013-08-10,578623
2013-08-11,522225
2013-08-12,361815
2013-08-13,312681
2013-08-14,309691
2013-08-15,268014
2013-08-16,476602
2013-08-17,793320
2013-08-18,616436
2013-08-19,388566
2013-08-20,430907
2013-08-21,42702
2013-11-19,34966
2013-11-20,110702
2013-11-21,104481
2013-11-22,92891
2013-11-23,48350
2013-11-24,38998
2013-11-25,66108
2013-11-26,76185
2013-11-27,59704
2013-11-28,32661
2013-11-29,56471
2013-11-30,109649
2013-12-01,63235
2013-12-02,102074
2013-12-03,105166
2013-12-04,142357
2013-12-05,166125
2013-12-06,58887
2013-12-07,34758
2013-12-08,16669
2013-12-09,38261
2013-12-10,25585
2013-12-11,45520
2013-12-12,33171
2013-12-13,52815
2013-12-14,10591
2013-12-15,19548
2013-12-16,39563
2013-12-17,69594
2013-12-18,151247
2013-12-19,83596
2013-12-20,49438
2013-12-21,17425
2013-12-22,18478
2013-12-23,27863
2013-12-24,95848
2013-12-25,6238
2013-12-26,22521
2013-12-27,62238
2013-12-28,101577
2013-12-29,90854
2013-12-30,20889
2013-12-31,20314
2014-01-01,3404
2014-01-02,1076
2014-01-04,10710
2014-01-05,1784
2014-01-09,32314
2014-01-10,30796
2014-01-11,47363
2014-01-12,31157
2014-01-13,88457
2014-01-14,57529
2014-01-15,51898
2014-01-16,88395
2014-01-17,51682
2014-01-18,8408
2014-01-19,14406
2014-01-20,37859
2014-01-21,31295
2014-01-22,28437
2014-01-23,18688
2014-01-24,12329
2014-01-25,17004
2014-01-26,10080
2014-01-27,10244
2014-01-28,10359
2014-01-29,48498
2014-01-30,37568
2014-01-31,45037
2014-02-01,10416
2014-02-02,9616
2014-02-03,62876
2014-02-04,32822
2014-02-05,11995
2014-02-06,67509
2014-02-07,24628
2014-02-08,8558
2014-02-09,18123
2014-02-10,23939
2014-02-11,45551
2014-02-12,89338
2014-02-13,78376
2014-02-14,42254
2014-02-15,22288
2014-02-16,14986
2014-02-17,16060
2014-02-18,115387
2014-02-19,69035
2014-02-20,30666
2014-02-21,46935
2014-02-22,32387
2014-02-23,17850
2014-02-24,47958
2014-02-25,50034
2014-02-26,26751
2014-02-27,38943
2014-02-28,38930
2014-03-01,21936
2014-03-02,5898
2014-03-03,27933
2014-03-04,42162
2014-03-05,27885
2014-03-06,53599
2014-03-07,101514
2014-03-08,30195
2014-03-09,53224
2014-03-10,172039
2014-03-11,153702
2014-03-12,30334
2014-03-13,70126
2014-03-14,165781
2014-03-15,102879
2014-03-16,72636
2014-03-17,75559
2014-03-18,129444
2014-03-19,67023
2014-03-20,144491
2014-03-21,258347
2014-03-22,102442
2014-03-23,23328
2014-03-24,71479
2014-03-25,65086
2014-03-26,84692
2014-03-27,75137
2014-03-28,88961
2014-03-29,76116
2014-03-30,374102
2014-03-31,385984
2014-04-01,143194
2014-04-02,141091
2014-04-03,125593
2014-04-04,92090
2014-04-05,247445
2014-04-06,430229
2014-04-07,198970
2014-04-08,190892
2014-04-09,282369
2014-04-10,271632
2014-04-11,609728
2014-04-12,907173
2014-04-13,259354
2014-04-14,42704
2014-04-15,78781
2014-04-16,161116
2014-04-17,321826
2014-04-18,198981
2014-04-19,519023
2014-04-20,892843
2014-04-21,272075
2014-04-22,301985
2014-04-23,185197
2014-04-24,211504
2014-04-25,475179
2014-04-26,344092
2014-04-27,204938
2014-04-28,129231
2014-04-29,188064
2014-04-30,194093
2014-05-01,96436
2014-05-02,189734
2014-05-03,643489
2014-05-04,257389
2014-05-05,285113
2014-05-06,276411
2014-05-07,376815
2014-05-08,470935
2014-05-09,357666
2014-05-10,898938
2014-05-11,600743
2014-05-12,447980
2014-05-13,289119
2014-05-14,354764
2014-05-15,189860
2014-05-16,161930
2014-05-17,433170
2014-05-18,720174
2014-05-19,513930
2014-05-20,536081
2014-05-21,560295
2014-05-22,463034
2014-05-23,624313
2014-05-24,1009426
2014-05-25,1411816
2014-05-26,1086451
2014-05-27,437790
2014-05-28,374042
2014-05-29,510918
2014-05-30,736154
2014-05-31,1247719
2014-06-01,887062
2014-06-02,649157
2014-06-03,642269
2014-06-04,280085
2014-06-05,609740
2014-06-06,829257
2014-06-07,1033903
2014-06-08,694385
2014-06-09,631270
2014-06-10,202546
2014-06-11,370216
2014-06-12,535957
2014-06-13,748352
2014-06-14,1100877
2014-06-15,640290
2014-06-16,759035
2014-06-17,588650
2014-06-18,360606
2014-06-19,460750
2014-06-20,596650
2014-06-21,887621
2014-06-22,942137
2014-06-23,508953
2014-06-24,516037
2014-06-25,491360
2014-06-26,661871
2014-06-27,855764
2014-06-28,1104734
2014-06-29,1157904
2014-06-30,449262
2014-07-01,724562
2014-07-02,399669
2014-07-03,722936
2014-07-04,1218079
2014-07-05,1126619
2014-07-06,894951
2014-07-07,765471
2014-07-08,612876
2014-07-09,741209
2014-07-10,726114
2014-07-11,662284
2014-07-12,485523
2014-07-13,1021530
2014-07-14,628795
2014-07-15,589209
2014-07-16,603961
2014-07-17,678997
2014-07-18,889975
2014-07-19,1366771
2014-07-20,947513
2014-07-21,814708
2014-07-22,668162
2014-07-23,643080
2014-07-24,786595
2014-07-25,645473
2014-07-26,1138950
2014-07-27,896083
2015-12-31,194
